cidade;uf;observacoes
Acauã;PI;
Alagoinha do Piauí;PI;
Alegrete do Piauí;PI;
Anísio de Abreu;PI;
Assunção do Piauí;PI;
Belém do Piauí;PI;
Betânia do Piauí;PI;
Bonfim do Piauí;PI;
Brejo do Piauí;PI;
Cajueiro da Praia;PI;
Caldeirão Grande do Piauí;PI;
Campinas do Piauí;PI;
Campo Alegre do Fidalgo;PI;
Campo Grande do Piauí;PI;
Canto do Buriti;PI;
Capitão Gervásio Oliveira;PI;
Caracol;PI;
Caridade do Piauí;PI;
Colônia do Piauí;PI;
Conceição do Canindé;PI;
Coronel José Dias;PI;
Corrente;PI;
Curimatá;PI;
Curral Novo do Piauí;PI;
Dirceu Arcoverde;PI;
Dom Expedito Lopes;PI;
Dom Inocêncio;PI;
Fartura do Piauí;PI;
Flores do Piauí;PI;
Floresta do Piauí;PI;
Francisco Macedo;PI;
Francisco Santos;PI;
Fronteiras;PI;
Inhuma;PI;
Ipiranga do Piauí;PI;
Itainópolis;PI;
Jacobina do Piauí;PI;
Jaicós;PI;
João Costa;PI;
Jurema;PI;
Lagoa do Barro do Piauí;PI;
Luís Correia;PI;
Marcolândia;PI;
Massapê do Piauí;PI;
Monsenhor Hipólito;PI;
Morro Cabeça no Tempo;PI;
Nova Santa Rita;PI;
Oeiras;PI;
Padre Marcos;PI;
Paquetá;PI;
Patos do Piauí;PI;
Paulistana;PI;
Pavussu;PI;
Pedro Laurentino;PI;
Picos;PI;
Pimenteiras;PI;
Pio IX;PI;
Queimada Nova;PI;
Rio Grande do Piauí;PI;
Santa Rosa do Piauí;PI;
Santana do Piauí;PI;
São Braz do Piauí;PI;
São Francisco de Assis do Piauí;PI;
São João da Canabrava;PI;
São João do Piauí;PI;
São José do Piauí;PI;
São Julião;PI;
São Lourenço do Piauí;PI;
São Miguel do Fidalgo;PI;
São Miguel do Tapuio;PI;
São Raimundo Nonato;PI;
Simões;PI;
Simplício Mendes;PI;
Várzea Branca;PI;
Vila Nova do Piauí;PI;
